engine version: roust 0.3.2 (20261f9, clean)
gold parquet: /Users/nicholasarehart/programming-projects/bgrep/lab/mswe_jsts.parquet
repos dir: /Users/nicholasarehart/programming-projects/bgrep/lab/mswe_repos_e23
pad_lines=5 len_exp=0.85 bm25_only=False ts_blocks=False cfamily_ext=False no_structural_blocks=False impl_prior_v2=False trace_formats_v2=False symbols_v2=False displacement_guard=False max_additions=32 budget=8192 instances=None
shard 1/1: rows [0:580] of the sorted split (580 instances)
[25/580] darkreader__darkreader-6747                   elapsed=27s (ok) ok=25 err=0
[50/580] iamkun__dayjs-1611                            elapsed=60s (ok) ok=50 err=0
[75/580] iamkun__dayjs-857                             elapsed=89s (ERR) ok=74 err=1
[100/580] mui__material-ui-24794                        elapsed=164s (ok) ok=99 err=1
[125/580] mui__material-ui-26413                        elapsed=288s (ok) ok=124 err=1
[150/580] mui__material-ui-30561                        elapsed=473s (ok) ok=149 err=1
[175/580] mui__material-ui-33812                        elapsed=683s (ok) ok=174 err=1
[200/580] mui__material-ui-34829                        elapsed=885s (ok) ok=199 err=1
[225/580] mui__material-ui-36426                        elapsed=1102s (ok) ok=224 err=1
[250/580] mui__material-ui-39071                        elapsed=1340s (ok) ok=249 err=1
[275/580] sveltejs__svelte-10291                        elapsed=1494s (ok) ok=274 err=1
[300/580] sveltejs__svelte-10917                        elapsed=1600s (ok) ok=299 err=1
[325/580] sveltejs__svelte-11378                        elapsed=1700s (ok) ok=324 err=1
[350/580] sveltejs__svelte-12047                        elapsed=1804s (ok) ok=349 err=1
[375/580] sveltejs__svelte-12474                        elapsed=1894s (ok) ok=374 err=1
[400/580] sveltejs__svelte-13008                        elapsed=1981s (ok) ok=399 err=1
[425/580] sveltejs__svelte-13445                        elapsed=2061s (ok) ok=424 err=1
[450/580] sveltejs__svelte-13774                        elapsed=2141s (ok) ok=449 err=1
[475/580] sveltejs__svelte-14440                        elapsed=2224s (ok) ok=474 err=1
[500/580] sveltejs__svelte-14993                        elapsed=2305s (ok) ok=499 err=1
[525/580] sveltejs__svelte-9811                         elapsed=2398s (ok) ok=524 err=1
[550/580] vuejs__core-11165                             elapsed=2479s (ok) ok=549 err=1
[575/580] vuejs__core-9442                              elapsed=2557s (ok) ok=574 err=1
[580/580] vuejs__core-9751                              elapsed=2572s (ok) ok=579 err=1

engine version: roust 0.3.2 (20261f9, clean)
wrote 580 records (579 ok, 1 errors) to /Users/nicholasarehart/programming-projects/bgrep/lab/results_regions/e39/arms/jsts_h2c32.jsonl
