engine version: roust 0.2.0 (269882f, clean)
gold parquet: lab/mswe_jsts.parquet
repos dir: lab/mswe_repos_private
pad_lines=5 len_exp=0.85 bm25_only=False ts_blocks=False index_all=False index_all_additive=True
shard 1/1: rows [0:580] of the sorted split (580 instances)
[25/580] darkreader__darkreader-6747                   elapsed=27s (ok) ok=25 err=0
[50/580] iamkun__dayjs-1611                            elapsed=47s (ok) ok=50 err=0
[75/580] iamkun__dayjs-857                             elapsed=65s (ERR) ok=74 err=1
[100/580] mui__material-ui-24794                        elapsed=171s (ok) ok=99 err=1
[125/580] mui__material-ui-26413                        elapsed=412s (ok) ok=124 err=1
[150/580] mui__material-ui-30561                        elapsed=742s (ok) ok=149 err=1
[175/580] mui__material-ui-33812                        elapsed=1194s (ok) ok=174 err=1
[200/580] mui__material-ui-34829                        elapsed=1634s (ok) ok=199 err=1
[225/580] mui__material-ui-36426                        elapsed=2023s (ok) ok=224 err=1
[250/580] mui__material-ui-39071                        elapsed=2421s (ok) ok=249 err=1
[275/580] sveltejs__svelte-10291                        elapsed=2626s (ok) ok=274 err=1
[300/580] sveltejs__svelte-10917                        elapsed=2746s (ok) ok=299 err=1
[325/580] sveltejs__svelte-11378                        elapsed=2870s (ok) ok=324 err=1
[350/580] sveltejs__svelte-12047                        elapsed=3005s (ok) ok=349 err=1
[375/580] sveltejs__svelte-12474                        elapsed=3117s (ok) ok=374 err=1
[400/580] sveltejs__svelte-13008                        elapsed=3225s (ok) ok=399 err=1
[425/580] sveltejs__svelte-13445                        elapsed=3329s (ok) ok=424 err=1
[450/580] sveltejs__svelte-13774                        elapsed=3433s (ok) ok=449 err=1
[475/580] sveltejs__svelte-14440                        elapsed=3539s (ok) ok=474 err=1
